Job title,Yearly Salary (USD),Years Work Experience
Process Improvement Educator,66000.0,31 - 40 years
Librarian,45000.0,11 - 20 years
Associate Director,72000.0,21 - 30 years
Senior Graphic Designer,70000.0,5-7 years
Compliance consultant,98000.0,11 - 20 years
Operations Manager,58000.0,5-7 years
Lead Payroll & Benefits Specialist,64000.0,5-7 years
Member Benefits Specialist,63000.0,5-7 years
"Director, Alumni Relations",88000.0,21 - 30 years
Executive Assistant,44000.0,5-7 years
Program Coordinator,41000.0,2 - 4 years
Health & Safety Assistant,34000.0,2 - 4 years
Marketing Analytics Manager,131000.0,11 - 20 years
Curriculum & Teaching Specialist,40460.0,11 - 20 years
Principal Business Analyst,128000.0,11 - 20 years
Project Manager,80000.0,5-7 years
Sr Technical Support Rep,53000.0,8 - 10 years
Software Developer,100000.0,2 - 4 years
Admissions Coordinator,39000.0,11 - 20 years
Senior project manager,145600.0,11 - 20 years
"Associate Executive Director, Advocacy & Governance",178000.0,11 - 20 years
Development Manager,73495.0,8 - 10 years
Director of Strategy,300000.0,21 - 30 years
Email Marketing Manager,77500.0,8 - 10 years
Staff Attorney,89000.0,8 - 10 years
Administrative Assistant,43000.0,5-7 years
Assistant Director,44000.0,11 - 20 years
Legal Secretary,67000.0,21 - 30 years
Digital Marketing Specialist,62700.0,2 - 4 years
Attorney,70000.0,11 - 20 years
Pharmacy Billing Specialist,34500.0,21 - 30 years
Director of Development,90000.0,8 - 10 years
marketing communications consultant,73000.0,8 - 10 years
Director of Information Technology ,65000.0,21 - 30 years
Development Associate,63500.0,8 - 10 years
Director of IT,186000.0,21 - 30 years
Sr Sourcing Specialist ,71000.0,11 - 20 years
YA Librarian ,58000.0,11 - 20 years
"Director, Government Relations ",139000.0,5-7 years
Alumni Relations Coordinator,70000.0,5-7 years
Development Manager,50000.0,5-7 years
Social Services Director,85000.0,11 - 20 years
Teacher,93689.0,11 - 20 years
Senior Manager,186000.0,11 - 20 years
Sales Operations Associate,52000.0,5-7 years
Project Manager,110000.0,8 - 10 years
Lease Administrator,106000.0,11 - 20 years
Library Director,69500.0,11 - 20 years
Inside Sales Representative,55000.0,5-7 years
Senior Associate,100000.0,11 - 20 years
Software Developer,72000.0,2 - 4 years
Sr. Product Manager,108000.0,11 - 20 years
Senior Designer,97000.0,11 - 20 years
Office Manager,58500.0,11 - 20 years
Reference and Research Librarian,47000.0,8 - 10 years
Associate Research Professor,110000.0,11 - 20 years
Production Control Specialist,60000.0,8 - 10 years
Community center director ,42000.0,2 - 4 years
Full Charge Bookkeeper,70000.0,11 - 20 years
CPA,62000.0,31 - 40 years
Postdoc,66000.0,2 - 4 years
Manager of Service Development,82500.0,8 - 10 years
Senior Manager,130000.0,11 - 20 years
Asset Protection ,32000.0,31 - 40 years
Software Engineer 2,128000.0,5-7 years
Executive Director,87500.0,11 - 20 years
Research Analyst,68150.0,2 - 4 years
Operations Manager,156000.0,11 - 20 years
Senior Art Consultant,77500.0,21 - 30 years
Supervisory Archivist,151000.0,21 - 30 years
Consultant,165000.0,1 year or less
Software Engineer Team Lead,110500.0,5-7 years
Epidemiologist,130000.0,11 - 20 years
Commercial Director,170000.0,11 - 20 years
Assistant Acquisitions Editor,43607.0,8 - 10 years
Executive Assistant and Projects Manager,47000.0,2 - 4 years
IT Analyst,64000.0,21 - 30 years
Sr Business Analyst,90000.0,8 - 10 years
DoD Financial Analyst Consultant,90000.0,8 - 10 years
HCE Analyst ,59800.0,11 - 20 years
Associate Recruiter,42000.0,2 - 4 years
HRIS Support Technician,40000.0,2 - 4 years
Project Manager,60000.0,2 - 4 years
Admin Assistant IV,46000.0,21 - 30 years
Geospatial Data Technician II,58000.0,11 - 20 years
Information Resources and Services Support Specialist,36000.0,11 - 20 years
Tax accountant,81120.0,8 - 10 years
Fisheries Management Specialist,91000.0,8 - 10 years
Senior Managing Editor ,110000.0,11 - 20 years
Web Production Manager,72800.0,8 - 10 years
director,60000.0,11 - 20 years
Executive Agency Counsel,114000.0,11 - 20 years
Librarian,31000.0,2 - 4 years
Software developer,88000.0,8 - 10 years
Public Information Officer,52000.0,5-7 years
Library Assistant,24000.0,21 - 30 years
Research Assistant,53000.0,2 - 4 years
Physician (FM),200000.0,2 - 4 years
Director of Enrollment Management,110000.0,11 - 20 years
Corporate and Foundation Relations Manager,41470.0,21 - 30 years
Director ,158000.0,11 - 20 years
Taxonomy Analyst,76100.0,21 - 30 years
Application Development Analyst,62000.0,1 year or less
Senior RFP Specialist,86100.0,11 - 20 years
Senior Editor,71800.0,5-7 years
Program Coordinator,36600.0,5-7 years
Managing Supervisor,83000.0,11 - 20 years
Electrical Engineer I,70000.0,1 year or less
Shift Leader (Manager),35400.0,5-7 years
QA and Testing Analyst II,56271.0,8 - 10 years
Managing Editor,90000.0,31 - 40 years
Donor Relations Manager,70000.0,5-7 years
Student Paraprofessional,41787.0,8 - 10 years
Sr. Project Manager,104000.0,21 - 30 years
Science Manager,60000.0,8 - 10 years
Executive Director ,65520.0,8 - 10 years
Learning specialist,75000.0,8 - 10 years
Senior Accountant,80000.0,8 - 10 years
"Associate Director, Medical Communications",168000.0,11 - 20 years
Data Analyst,85000.0,5-7 years
Banker,35360.0,2 - 4 years
Technical writer,50000.0,8 - 10 years
public defender,92000.0,11 - 20 years
Special Education Teacher,38.0,21 - 30 years
Attorney ,146220.0,11 - 20 years
Senior IT Manager,125000.0,21 - 30 years
HR Specialist,98765.0,21 - 30 years
Compensation Analyst,68800.0,2 - 4 years
Controls System Engineer,72000.0,8 - 10 years
Senior Software Engineer,132860.0,11 - 20 years
senior primary systems engineer ,117000.0,31 - 40 years
Graphic Designer,27300.0,5-7 years
Mechanical Engineer,135000.0,8 - 10 years
Senior Executive Assistant,130000.0,8 - 10 years
Planning & Development Director,89980.0,11 - 20 years
Art Teacher,41000.0,5-7 years
Statistician,114059.0,11 - 20 years
Brand Manager,95000.0,8 - 10 years
Retention Specialist and Coordinator for Academic Programs,48000.0,5-7 years
Billing and Commission Specialist,40206.0,21 - 30 years
Compensation Manager,180000.0,11 - 20 years
Principal Integration and Test Engineer,118000.0,11 - 20 years
Principal Scientist,126000.0,11 - 20 years
Auditor,119000.0,11 - 20 years
International Services Coordinator ,59000.0,11 - 20 years
Staff Accountant,64000.0,11 - 20 years
"Associate Director, Information Governance",185000.0,21 - 30 years
Paralegal,43500.0,8 - 10 years
Head of Youth Services- Public Library,60000.0,8 - 10 years
Operations Manager,83000.0,8 - 10 years
Program Manager,49500.0,8 - 10 years
Desktop Support Technician ,44000.0,8 - 10 years
Research Administrator,90000.0,11 - 20 years
Editor ,73000.0,11 - 20 years
Nurse Practitioner,128000.0,11 - 20 years
Senior Technical Writer,75000.0,21 - 30 years
IT Program Director,154000.0,11 - 20 years
Director of Professional Development,100000.0,11 - 20 years
Project Manager,104000.0,11 - 20 years
Project Controller Senior,98500.0,11 - 20 years
Analytics Manager,114000.0,5-7 years
Writer/Editor,83000.0,8 - 10 years
Speech-language pathologist,75000.0,8 - 10 years
Assistant Teaching Professor,52125.0,11 - 20 years
Resource Manager,128203.0,11 - 20 years
Media Specialist,57879.0,5-7 years
Volunteer Recruitment Specialist,55000.0,8 - 10 years
Community Engagement Manager,35100.0,2 - 4 years
Academic librarian,65000.0,5-7 years
Certified Anesthesiologist Assistant ,150000.0,1 year or less
Commercial Counsel,160000.0,8 - 10 years
Chief Information Security Officer,165000.0,21 - 30 years
Science and Humanities Teacher (high school),53500.0,8 - 10 years
Software engineer ,160000.0,8 - 10 years
R&D specialist II,77000.0,5-7 years
Emergency Management Planner,65936.0,8 - 10 years
Senior Tax Accountant,82000.0,2 - 4 years
Farm to School Specialist,56000.0,11 - 20 years
Controller,98000.0,11 - 20 years
Administration,55785.0,21 - 30 years
Academic Advisor,52000.0,11 - 20 years
Sales Manager,212000.0,8 - 10 years
Associate Director,90000.0,8 - 10 years
Technology Coordinator,40000.0,8 - 10 years
Managing Editor,61.0,5-7 years
Level 1 Support,40000.0,8 - 10 years
School Librarian,56000.0,11 - 20 years
Urban Specialist,111360.0,8 - 10 years
Regional Manager,116000.0,21 - 30 years
Software Developer and Consultant,93800.0,5-7 years
Administrative assistant ,45000.0,11 - 20 years
Advisor,103000.0,11 - 20 years
Library Director ,92000.0,11 - 20 years
Information Professional (Librarian),38000.0,8 - 10 years
Senior IT program delivery manager,175000.0,21 - 30 years
Trade Compliance Lead,92000.0,21 - 30 years
Assistant Professor of History,70000.0,11 - 20 years
Product Development Specialist,51000.0,2 - 4 years
Embryologist,64854.0,8 - 10 years
Director of Finance and Administration,82650.0,11 - 20 years
project coordinator ,60000.0,11 - 20 years
Associate Director,102500.0,11 - 20 years
Associate Registrar,100000.0,11 - 20 years
Program and Development Coordinator,51000.0,2 - 4 years
Associate Publicist,45000.0,2 - 4 years
Director of Development and Communications,100000.0,11 - 20 years
Fulfillment Supervisor,53000.0,2 - 4 years
VP of Communication,95000.0,8 - 10 years
Parts Quality Engineer,82000.0,5-7 years
EDI Manager,66000.0,41 years or more
office manager,56000.0,8 - 10 years
HR Manager/Accounts Payable,53500.0,11 - 20 years
North American Service Quality Manager,91000.0,8 - 10 years
Sr. Document Control Specialist,51796.0,8 - 10 years
Service Representative II,40000.0,8 - 10 years
Vice President Advisor Escalations,100000.0,11 - 20 years
Managing director,390000.0,31 - 40 years
admissions communications,50000.0,21 - 30 years
Program Manager,120000.0,5-7 years
Senior Consultant,140400.0,11 - 20 years
Technical Recruiter,80000.0,5-7 years
account manager,46000.0,8 - 10 years
Executive Assistant,95000.0,21 - 30 years
Accounts Payable,55000.0,31 - 40 years
Digital Product Manager,130000.0,8 - 10 years
Lab Technician,50000.0,5-7 years
Associate (consultant),65000.0,11 - 20 years
Product Owner,103000.0,8 - 10 years
Operations Engineer,81000.0,8 - 10 years
Manager Library/Tutoring,95325.0,41 years or more
Sr. Director,188000.0,41 years or more
Program Manager III,136000.0,11 - 20 years
professor,110000.0,11 - 20 years
Sr. Quality Lab Technician,47902.0,11 - 20 years
Go-To-Market Strategist,101000.0,11 - 20 years
Department Manager,83200.0,21 - 30 years
Consulting actuary,350000.0,5-7 years
Editor,49000.0,21 - 30 years
Project Manager,200000.0,8 - 10 years
Assistant Manager,29000.0,5-7 years
Brand Ambassador/Sales Associate,27289.0,5-7 years
Instructional Systems Designer,78000.0,5-7 years
Software Engineer 2,97000.0,2 - 4 years
Staff Accountant,62500.0,2 - 4 years
Library Supervisor,72500.0,11 - 20 years
Director of Special Events,107000.0,21 - 30 years
Store Manager,32448.0,21 - 30 years
OPerations Manager,93000.0,21 - 30 years
Middle School Principal,60000.0,31 - 40 years
Associate Director,75000.0,21 - 30 years
Art Coordinator,31200.0,2 - 4 years
Registered operations specialist,56000.0,8 - 10 years
Operations Manager,66000.0,5-7 years
Systems Analyst,74200.0,11 - 20 years
Senior Program Analyst,122540.0,8 - 10 years
Librarian,60000.0,11 - 20 years
Program Manager for Graduate Career Services,59000.0,11 - 20 years
Manager,75603.0,21 - 30 years
Senior investor relations analyst ,115000.0,8 - 10 years
Sr. Director of Marketing,175000.0,11 - 20 years
Physician,180000.0,31 - 40 years
Senior Program Manager,150000.0,5-7 years
Environmental Scientist,68000.0,11 - 20 years
Accounts Manager,48925.0,11 - 20 years
Training Coordinator ,58195.0,11 - 20 years
Controller,118360.0,21 - 30 years
Receptionist,52000.0,2 - 4 years
member engagement associate,65100.0,8 - 10 years
Social Media Editor,75000.0,5-7 years
Flight Operations Engineer,88400.0,2 - 4 years
Department Specialist,48000.0,11 - 20 years
graphic design,46300.0,21 - 30 years
Contract Manager,105000.0,11 - 20 years
Claims Administration Manager,78998.0,11 - 20 years
Engagement & Operations Manager,60000.0,21 - 30 years
Lending Officer,96000.0,11 - 20 years
Psychiatric Nurse Practitioner,140000.0,8 - 10 years
Laboratory Manager,50000.0,21 - 30 years
Benefits Specialist,58344.0,11 - 20 years
Learning and Retention Specialist,50000.0,5-7 years
Senior Project Manager,120000.0,11 - 20 years
Private tutor and nanny,70000.0,8 - 10 years
Product Manager,70000.0,5-7 years
Cashier/back-end food prep,18720.0,2 - 4 years
IT Manager,90000.0,11 - 20 years
Analyst,87000.0,5-7 years
HR Generalist,64000.0,11 - 20 years
Assistant professor,70000.0,11 - 20 years
Foreign Affairs Officer,114059.0,8 - 10 years
Client Success Manager,95000.0,11 - 20 years
Teacher,67000.0,11 - 20 years
Director of Coroprate Relations,69000.0,11 - 20 years
Elementary school social worker ,55000.0,2 - 4 years
Business Analyst III,75000.0,11 - 20 years
Copy Editor & Writer,77230.0,21 - 30 years
Student Worker,16000.0,11 - 20 years
Speech-Language Pathologist,44000.0,2 - 4 years
Mortgage Processor,33280.0,5-7 years
Library Director,55000.0,8 - 10 years
Supervisor,65000.0,11 - 20 years
Senior Chemist,65364.0,11 - 20 years
Content Development Manager,68000.0,8 - 10 years
Development Director,108000.0,8 - 10 years
Systems Analyst,68000.0,11 - 20 years
Research Development Coordinator,45000.0,5-7 years
Associate Editor,72000.0,5-7 years
Digital Marketing Coordinator,45000.0,5-7 years
Finance Analyst,40000.0,21 - 30 years
Senior Program Officer,67500.0,8 - 10 years
Consultant ,140000.0,21 - 30 years
Shipping and Warehouse Operations Manager,102000.0,11 - 20 years
Sales Incentive Analyst,70000.0,21 - 30 years
Human Resources Director,90000.0,8 - 10 years
Nonprofit Program Manager,72000.0,2 - 4 years
Software Developer,105000.0,11 - 20 years
Director of Human Resources,118000.0,31 - 40 years
Associate research scientist,74100.0,8 - 10 years
Process Developer,84000.0,21 - 30 years
Product Group Lead,155000.0,21 - 30 years
Software Developer,100000.0,5-7 years
Technology Support Technician,53000.0,8 - 10 years
Speech-Language Pathologist,80000.0,11 - 20 years
FMLA Account Representative ,44750.0,2 - 4 years
Buyer,38251.0,11 - 20 years
Patent attorney ,171912.0,31 - 40 years
Accountant,69000.0,21 - 30 years
Academic Advisor,42000.0,5-7 years
Consultant II,76250.0,8 - 10 years
Senior Creative Designer,59000.0,21 - 30 years
attorney,72000.0,8 - 10 years
Marketing Strategist,62500.0,5-7 years
Manufacturing Engineer,75000.0,2 - 4 years
"Manager, Solutions Engineering",185000.0,8 - 10 years
Academic Advisor,40000.0,11 - 20 years
Business Analyst,72450.0,11 - 20 years
Assistant Marketing Director,65000.0,11 - 20 years
Records Management Analyst,71000.0,11 - 20 years
CFO,88400.0,31 - 40 years
Crisis Clinician ,51000.0,5-7 years
Medical Writer II,80000.0,31 - 40 years
Auditor,85000.0,11 - 20 years
Exhibitions Manager and Registrar,65000.0,11 - 20 years
Executive Assistant,67000.0,1 year or less
Sr. Technical Specialist,70000.0,5-7 years
Product and inventory manager,62000.0,31 - 40 years
Senior Systems Engineer,200000.0,21 - 30 years
Admissions Representative,35500.0,2 - 4 years
Genetic Counselor,110000.0,8 - 10 years
Practice Manager,48700.0,5-7 years
Office Manager and Executive Assistant,132500.0,11 - 20 years
Research Administrator,53000.0,11 - 20 years
Software Engineer,85000.0,2 - 4 years
Program Analyst ,90000.0,11 - 20 years
Advocacy Officer,56000.0,2 - 4 years
Customer Success Manager,90000.0,11 - 20 years
Senior Counsel,185000.0,11 - 20 years
Senior financial analyst,92500.0,11 - 20 years
Client Services Director,153000.0,21 - 30 years
Registered Architect & Project Manager,72000.0,11 - 20 years
Associate General Counsel,135000.0,8 - 10 years
Reimbursement specialist,48464.0,11 - 20 years
Editor,74000.0,11 - 20 years
Associate Project Manager ,73000.0,8 - 10 years
Showroom Coordinator,46000.0,8 - 10 years
Department Director ,89000.0,21 - 30 years
Director,78000.0,11 - 20 years
Commercial Portfolio Manager,120000.0,8 - 10 years
Assistant Finance Director,98000.0,31 - 40 years
Product Manager,156000.0,8 - 10 years
Associate Scientist,120000.0,8 - 10 years
Principal Policy Analyst,98000.0,8 - 10 years
Admin Asst to VP and Development,39000.0,31 - 40 years
Senior Internal Auditor,87550.0,21 - 30 years
Program Specialist ,47000.0,11 - 20 years
Director of Communications,64000.0,8 - 10 years
Assistant Director,68000.0,8 - 10 years
Account Director,118000.0,11 - 20 years
Genomics Sales Specialist,95000.0,21 - 30 years
Medical Physicist,183600.0,11 - 20 years
Manufacturing Engineer Manager,77000.0,5-7 years
Researcher and Writer,42000.0,11 - 20 years
Senior Analyst—Investment Performance & Risk,80000.0,11 - 20 years
VP of Customer Success,170000.0,11 - 20 years
Vice President of Operations,125000.0,8 - 10 years
